discipline,angle_en,angle_zh,category,aliases,note
# ===== 通用跨学科层：任何方向都可先扫这一组 =====
通用,machine learning,机器学习,mainstream,"deep learning|neural network",跨学科通用·分母含背景噪声
通用,causal inference,因果推断,emerging,"causal identification|causal effect",
通用,explainability,可解释性,quality,"interpretability|XAI|explainable",
通用,uncertainty quantification,不确定性量化,quality,"uncertainty estimation|calibration",
通用,reproducibility,可复现性,quality,"replication|reproducible research",
通用,digital twin,数字孪生,emerging,"digital twin modeling",
通用,large language model,大语言模型,emerging,"LLM|foundation model|GPT",
通用,multimodal fusion,多模态融合,emerging,"multi-modal|cross-modal",
通用,transfer learning,迁移学习,mainstream,"domain adaptation|pretraining",
通用,federated learning,联邦学习,emerging,"privacy-preserving learning",
通用,graph neural network,图神经网络,emerging,"GNN|graph learning",
通用,reinforcement learning,强化学习,mainstream,"RL|policy optimization",
通用,generative model,生成模型,emerging,"generative AI|diffusion|GAN",
通用,self-supervised learning,自监督学习,emerging,"SSL|contrastive learning",
通用,few-shot learning,小样本学习,emerging,"low-shot|meta-learning",
通用,active learning,主动学习,mainstream,"query strategy",
通用,data augmentation,数据增强,mainstream,"synthetic data",
通用,imbalanced data,类别不平衡,quality,"class imbalance|long-tail",
通用,benchmark dataset,基准数据集,quality,"open dataset|evaluation benchmark",
通用,systematic review,系统综述,method,"scoping review",方法类·MFR偏高不代表空位
通用,meta-analysis,元分析,method,"pooled analysis",方法类·MFR偏高不代表空位
通用,sensitivity analysis,敏感性分析,method,"robustness check",方法类
通用,longitudinal study,纵向研究,method,"cohort study|panel data",方法类
通用,randomized controlled trial,随机对照试验,method,"RCT|randomized trial",方法类
通用,mixed methods,混合方法,method,"qualitative and quantitative",方法类
# ===== 计算机与人工智能 =====
计算机,transformer architecture,Transformer架构,mainstream,"vision transformer|ViT|attention",
计算机,state space model,状态空间模型,emerging,"Mamba|SSM|S4",
计算机,retrieval augmented generation,检索增强生成,emerging,"RAG|retrieval augmentation",
计算机,chain-of-thought reasoning,思维链推理,emerging,"CoT|step-by-step reasoning",
计算机,agent framework,智能体框架,emerging,"LLM agent|multi-agent system",
计算机,parameter efficient fine-tuning,参数高效微调,emerging,"LoRA|PEFT|adapter",
计算机,knowledge distillation,知识蒸馏,mainstream,"teacher-student",
计算机,neural architecture search,神经架构搜索,emerging,"NAS",
计算机,model quantization,模型量化,deployment,"int8|low-bit|pruning",
计算机,edge inference,边缘推理,deployment,"on-device|edge computing",
计算机,adversarial robustness,对抗鲁棒性,quality,"adversarial attack|adversarial example",
计算机,differential privacy,差分隐私,quality,"privacy preserving",
计算机,continual learning,持续学习,emerging,"lifelong learning|catastrophic forgetting",
计算机,semantic segmentation,语义分割,task,"instance segmentation|panoptic",
计算机,object detection,目标检测,task,"detection network|YOLO",
计算机,anomaly detection,异常检测,task,"outlier detection|novelty detection",
计算机,recommendation system,推荐系统,task,"collaborative filtering|CTR prediction",
计算机,knowledge graph,知识图谱,task,"entity linking|ontology",
计算机,code generation,代码生成,task,"program synthesis",
计算机,speech recognition,语音识别,task,"ASR|speech to text",
计算机,neural rendering,神经渲染,emerging,"NeRF|gaussian splatting|3D reconstruction",
计算机,blockchain,区块链,mainstream,"distributed ledger|smart contract",
计算机,quantum computing,量子计算,emerging,"quantum algorithm|qubit",
计算机,serverless computing,无服务器计算,deployment,"FaaS|cloud native",
# ===== 电子信息与通信 =====
电子信息,defect detection,缺陷检测,task,"surface defect|quality inspection",
电子信息,fault diagnosis,故障诊断,task,"fault detection|condition monitoring",
电子信息,signal denoising,信号去噪,task,"noise reduction|signal enhancement",
电子信息,antenna design,天线设计,task,"antenna array|metasurface antenna",
电子信息,massive MIMO,大规模MIMO,mainstream,"beamforming|MIMO system",
电子信息,integrated sensing and communication,通感一体化,emerging,"ISAC|joint sensing communication",
电子信息,reconfigurable intelligent surface,可重构智能表面,emerging,"RIS|intelligent reflecting surface",
电子信息,terahertz communication,太赫兹通信,emerging,"THz|millimeter wave",
电子信息,semantic communication,语义通信,emerging,"semantic coding",
电子信息,wireless power transfer,无线电能传输,mainstream,"inductive coupling|energy harvesting",
电子信息,FPGA implementation,FPGA实现,deployment,"hardware acceleration|ASIC",
电子信息,neuromorphic computing,神经形态计算,emerging,"spiking neural network|SNN",
电子信息,in-memory computing,存内计算,emerging,"memristor|compute-in-memory",
电子信息,radar signal processing,雷达信号处理,task,"SAR|radar imaging",
电子信息,optical communication,光通信,mainstream,"fiber optic|optical network",
电子信息,electromagnetic compatibility,电磁兼容,quality,"EMI|EMC",
电子信息,low power design,低功耗设计,deployment,"energy efficient circuit",
电子信息,analog circuit design,模拟电路设计,mainstream,"amplifier design|ADC",
电子信息,6G network,6G网络,emerging,"next generation wireless",
电子信息,UAV communication,无人机通信,emerging,"drone network|aerial base station",
# ===== 自动化与控制 =====
自动化,model predictive control,模型预测控制,mainstream,"MPC|predictive control",
自动化,reinforcement learning control,强化学习控制,emerging,"RL control|learning-based control",
自动化,adaptive control,自适应控制,mainstream,"adaptive controller",
自动化,robust control,鲁棒控制,mainstream,"H-infinity|sliding mode control",
自动化,fault tolerant control,容错控制,task,"fault tolerance|fault-tolerant",
自动化,multi-agent coordination,多智能体协同,emerging,"swarm|formation control|consensus",
